COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
"'Woodlawn',",'848-58 E. 65th St.',60637,41.77690925,-87.60395378
"'Auburn Gresham',",'1626 W. 87th St.',60620,41.73588515,-87.66414272
"'Englewood',",'6415 S. Sangamon St.',60621,41.77739333,-87.6482214
"'Oakland',",'3755 S. Cottage Grove Ave.',60653,41.82631731,-87.60794545
"'Humboldt Park',",'3215 W. Huron St.',60624,41.89360833,-87.70720187
"'East Garfield Park',",'3609 W. Arthington St.',60624,41.86982456,-87.71590385
"'West Garfield Park',",'6 N. Hamlin Blvd.',60624,41.88096762,-87.72090693
"'Near West Side',",'50 N. Hoyne Ave.',60612,41.8828067,-87.67926811
"'New City',",'4707 S. Marshfield Ave.',60609,41.80836402,-87.66603344
"'Montclare',",'2601-19 N. Harlem Ave.',60707,41.92716483,-87.80621904
"'North Lawndale',",'1345 S. Fairfield Ave.',60608,41.86339815,-87.69440189
"'West Ridge',",'1818 W. Peterson Ave.',60660,41.99084916,-87.67599309
"'Uptown',",'5009 N. Sheridan Road',60640,41.97361773,-87.65478924
"'Grand Boulevard',",'4420-24 S. Michigan Ave.',60653,41.81406086,-87.62311222
"'Near North Side',",'459 W. Division St.',60622,41.90364882,-87.64046322
"'Norwood Park',",'5700 N. Harlem Ave.',60631,41.98466628,-87.80707301
"'Jefferson Park',",'5400 N. Northwest Hwy.',60630,41.97839039,-87.77439957
"'Oakland',",'1120 E. Bowen Ave.',60653,41.81886099,-87.59923619
"'Roseland',",'11045 S. Wentworth Ave.',60628,41.69301591,-87.62776735
"'Chicago Lawn',",'2626 W. 63rd St.',60629,41.77928099,-87.68967949
"'Logan Square',",'3230 W. Armitage Ave',60647,41.91749465,-87.70826581
"'Hyde Park',",'5330 S. Harper Ave.',60615,41.79857178,-87.58921454
"'Brighton Park',",'3246 W. 47th St.',60632,41.80820589,-87.70586474
"'Dunning',",'4239 N. Oak Park Ave.',60634,41.95769221,-87.79754403
"'West Town',",'945 N. Western Ave.',60622,41.89889515,-87.68677643
"'Lower West Side',",'2014 S. Racine Ave.',60608,41.85469028,-87.65647821
"'Austin',",'4650 W. Van Buren St.',60644,41.87516676,-87.74216784
"'Woodlawn',",'6227-29 S. Cottage Grove Ave.',60637,41.781408,-87.60580712
"'North Lawndale',",'1310-14 S. Washtenaw Ave.',60608,41.86433604,-87.69349569
"'West Englewood',",'2115 W. 63rd St',60636,41.77916282,-87.6770312
"'Portage Park',",'4655 W. Burteau Ave.',60641,41.95639632,-87.74523589
"'Near North Side',",'544 W. Oak St.',60610,41.90052524,-87.64295528
"'South Lawndale',",'2700 S. Drake Ave.',60623,41.84247656,-87.71366715
"'Greater Grand Crossing',",'6956 S. Vincennes Ave.',60621,41.76751603,-87.62717205
"'Near West Side',",'320 S. Maplewood Ave.',60612,41.87698195,-87.69022214
"'Auburn Gresham',",'8440 S. Parnell Ave.',60620,41.74018636,-87.63781991
"'Oakland',",'4116 S. Oakenwald Ave.',60653,41.8195725,-87.59929085
"'Humboldt Park',",'3341 W. Ohio St.',60624,41.89174085,-87.71055924
"'Humboldt Park',",'505 N. Troy St.',60612,41.89052242,-87.70502546
