ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"31","Parks, Recreation, & Leisure","3105","Health & Physical Education","310501","General Health & Physical Education",2012,"2012",5,"Bachelors Degree",17,"general-health-physical-education","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131305","English & Language Arts Teacher Education",2012,"2012",5,"Bachelors Degree",37,"english-language-arts-teacher-education","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520205","Operations Management & Supervision",2012,"2012",5,"Bachelors Degree",6,"operations-management-supervision","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500915","Woodwind Instruments",2012,"2012",5,"Bachelors Degree",7,"woodwind-instruments","Chicago, IL","16000US1714000","chicago-il"
"31","Parks, Recreation, & Leisure","3105","Health & Physical Education","310505","Kinesiology & Exercise Science",2012,"2012",5,"Bachelors Degree",135,"kinesiology-exercise-science","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131302","Art Teacher Education",2012,"2012",5,"Bachelors Degree",10,"art-teacher-education","Chicago, IL","16000US1714000","chicago-il"
"38","Philosophy and Religious Studies","3801","Philosophy","380101","Philosophy",2012,"2012",5,"Bachelors Degree",165,"philosophy-380101","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131210","Early Childhood Education & Teaching",2012,"2012",5,"Bachelors Degree",302,"early-childhood-education-teaching","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520206","Non-Profit, Public, & Organizational Management",2012,"2012",5,"Bachelors Degree",8,"non-profit-public-organizational-management","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500914","Brass Instruments",2012,"2012",5,"Bachelors Degree",0,"brass-instruments","Chicago, IL","16000US1714000","chicago-il"
"38","Philosophy and Religious Studies","3802","Religious Studies","380201","Religious Studies",2012,"2012",5,"Bachelors Degree",10,"religious-studies-380201","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131209","Kindergarten & Preschool Education",2012,"2012",5,"Bachelors Degree",5,"kindergarten-preschool-education","Chicago, IL","16000US1714000","chicago-il"
"38","Philosophy and Religious Studies","3802","Religious Studies","380206","Judaic Studies",2012,"2012",5,"Bachelors Degree",1,"judaic-studies","Chicago, IL","16000US1714000","chicago-il"
