COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
"'Englewood',",'624 W. 61st St.',60621,41.7836,-87.6411
"'Woodlawn',",'6321 S. Cottage Grove Ave.',60637,41.7798,-87.6058
"'Lower West Side',",'1714 W. 19th St.',60608,41.856,-87.6694
"'North Lawndale',",'1262-1300 S. Washtenaw Ave.',60608,41.8647,-87.6935
"'Avalon Park',",'1200 E. 78th St.',60619,41.7533,-87.5955
"'Humboldt Park',",'528 N. Troy St.',60624,41.8912,-87.7053
"'Chicago Lawn',",'3214 W. 63rd Pl',60629,41.7781,-87.7039
"'Grand Boulevard',",'460 E. 41st St.',60653,41.8204,-87.6144
"'Near West Side',",'1939 W. Lake St.',60612,41.8849,-87.6759
"'North Lawndale',",'3836 W. Cermak Road',60623,41.8517,-87.7213
"'Lower West Side',",'967 W. 19th St.',60608,41.8566,-87.6507
"'Washington Park',",'5701 S. Michigan Ave.',60653,41.791,-87.6222
"'Edgewater',",'5650 N. Kenmore Ave.',60660,41.9852,-87.6568
"'Grand Boulevard',",'731 E. 50th Pl',60615,41.803,-87.6076
"'South Shore',",'7018 S. Cregier Ave.',60649,41.7674,-87.5814
"'South Chicago',",'3200 E. 92nd St.',60617,41.7284,-87.5468
"'North Park',",'5801 N. Pulaski Road',60646,41.9859,-87.7284
"'Near South Side',",'2031 S. Clark St.',60616,41.8544,-87.63
"'Roseland',",'240 W. 107th Place',60628,41.699,-87.6295
"'Lakeview',",'3600 N. Halsted St.',60613,41.9474,-87.6496
"'West Town',",'710 W. Grand Ave.',60654,41.8913,-87.6463
"'Auburn Gresham',",'8132-44 S. Racine Ave.',60620,41.7459,-87.6538
"'West Town',",'1527-31 N. Wicker Park Ave.',60622,41.9088,-87.6769
"'East Garfield Park',",'15 S. Homan Ave.',60624,41.8804,-87.7108
"'Logan Square',",'3503 W. Armitage Ave',60647,41.9172,-87.7137
"'Humboldt Park',",'3118 W. Franklin Blvd.',60624,41.8902,-87.7047
"'Woodlawn',",'1410 E. 62nd St.',60637,41.7825,-87.591
"'Hegewisch',",'13550 S. Avenue O',60633,41.6485,-87.5401
"'South Lawndale',",'3515-17 W. 23rd St.',60623,41.8498,-87.7132
"'North Lawndale',",'1331 S. Independence Blvd.',60623,41.8634,-87.7193
"'Humboldt Park',",'532 N. Trumbull Ave.',60624,41.8912,-87.7127
"'Near South Side',",'30 W. Cermak Road',60616,41.853,-87.6282
"'Uptown',",'847-49 W. Sunnyside Ave.',60640,41.9635,-87.6518
"'Gage Park',",'3244 W. 59th St.',60629,41.7863,-87.7051
"'Lower West Side',",'2021 S. Morgan St.',60608,41.8546,-87.6513
"'Near North Side',",'1333 N. Kingsbury St.',60622,41.9057,-87.6496
"'Grand Boulevard',",'4950 S. Langley Ave.',60615,41.8044,-87.609
"'West Town',",'1723-33 N. Humboldt Blvd.',60647,41.9128,-87.7018
"'Logan Square',",'2501 W. Armitage Ave.',60647,41.9174,-87.6899
"'Austin',",'334 N. Menard Ave.',60644,41.8867,-87.7701
"'Humboldt Park',",'3543 W. Chicago Ave.',60651,41.8954,-87.7156
"'Douglas',",'3640 S. State St.',60609,41.8279,-87.6266
"'Washington Park',",'346 E. 53rd St.',60615,41.7985,-87.6175
"'Humboldt Park',",'3224 W. Ohio St.',60624,41.892,-87.7076
"'Englewood',",'5628-30 S. Halsted St.',60621,41.7916,-87.6452
"'Humboldt Park',",'3939-59 W. North Ave.',60647,41.9098,-87.7256
"'Uptown',",'4946 N. Sheridan Road',60640,41.9729,-87.6551
"'Near West Side',",'1519 W. Warren Blvd.',60607,41.8823,-87.666
"'Grand Boulevard',",'4340-2 S. Champlain St.',60653,41.8166,-87.6106
"'New City',",'4845 S. Western Blvd.',60609,41.8053,-87.6836
"'Albany Park',",'4814-58 N. Kedzie Ave.',60625,41.9689,-87.7086
"'North Lawndale',",'1254-56 S. Fairfiled Ave.',60608,41.8649,-87.6947
"'Washington Park',",'6253 S. Michigan Ave.',60653,41.7804,-87.6218
"'Rogers Park',",'6808 N. Wayne Ave.',60626,42.0058,-87.6651
"'West Town',",'1045 N. Sacramento Blvd.',60622,41.9005,-87.7016
"'Oakland',",'1110 E. Bowen Ave.',60653,41.8187,-87.5996
"'Woodlawn',",'6230 S. Dorchester Ave.',60637,41.7814,-87.5915
"'Woodlawn',",'6134 S. Cottage Grove Ave.',60637,41.783,-87.6061
"'Logan Square',",'2451-57 N. Sacramento Ave.',60612,41.9263,-87.7022
"'Chatham',",'8300 S. Cottage Grove Ave.',60619,41.7439,-87.6052
"'Chicago Lawn',",'7430 S. Rockwell St.',60629,41.7582,-87.6881
"'Hyde Park',",'1330 E. 53rd St.',60615,41.7996,-87.5938
