ADDRESS,LATITUDE,LONGITUDE,VIOLATIONS
4700 S ASHLAND AVENUE,41.808511597,-87.665117292,721
4700 S CICERO AVE,41.807530373,-87.743296821,3337
4700 S KEDZIE AVE,41.808047271999996,-87.70411882200001,7727
4700 S WESTERN AVENUE,41.808378408,-87.68457071700001,15700
4800 N ASHLAND AVENUE,41.96902343,-87.669590434,10676
4800 N CICERO AVE,41.968048007,-87.747875985,14867
4800 N CICERO AVENUE,41.968048007,-87.747875985,13386
4800 N ELSTON AVENUE,41.968039361,-87.740283894,5072
4800 N PULASKI ROAD,41.968262595,-87.728175316,2146
4800 N WESTERN AVENUE,41.968640727,-87.68905424100001,7155
4800 W 47TH ST,41.807727017,-87.74322936600001,17028
4800 W ARMITAGE AVENUE,41.917041992,-87.746176095,2030
4800 W CHICAGO AVENUE,41.895112219,-87.74593242700001,6878
4800 W DIVERSEY AVENUE,41.93164142,-87.746719911,3491
4800 W FULLERTON AVE,41.924347036,-87.74642764,5455
4800 W HARRISON STREET,41.873245464,-87.74511717899999,5768
4800 W NORTH AVENUE,41.90973389,-87.74624497299999,17796
4800 W PETERSON AVENUE,41.990008007,-87.748376951,2634
4932 W FOSTER AVENUE,41.975394608,-87.751746599,680
500 N COLUMBUS DRIVE,41.891044569,-87.620371839,38603
500 W ROOSEVELT ROAD,41.867362693000004,-87.639293195,21019
5000 S ARCHER AVE,41.802365973,-87.72357676600001,13083
5075 W MONTROSE AVENUE,41.960522088000005,-87.754371424,7950
5100 S WESTERN BLVD,41.801080204,-87.683818209,495
5200 N BROADWAY ST,41.976412143000005,-87.660015082,7957
5200 N ELSTON AVENUE,41.975258095,-87.75199055700001,169
5200 N NAGLE,41.97568567,-87.788020406,15223
5200 N NORTHWEST HWY,41.975153719,-87.76862036,1894
5200 N PULASKI RD,41.97562074,-87.728383135,6425
5200 N SHERIDAN ROAD,41.976492721,-87.655133605,3622
5200 N WESTERN AVE,41.975933372,-87.689299589,7018
5200 S CICERO AVE,41.798558278,-87.74307186600001,50143
5200 W FULLERTON AVENUE,41.924215796999995,-87.756210755,7908
5200 W MADISON STREET,41.880480752,-87.75513043299999,37199
5232 N CENTRAL AVE,41.976532211,-87.768621661,1422
5232 N MILWAUKEE AVE,41.975350275,-87.767632985,5929
5400 S ARCHER AVE,41.798758208,-87.743020541,14248
5500 S ASHLAND AVENUE,41.793590116,-87.664720996,531
5500 S KEDZIE AVENUE,41.793420237,-87.70369750799999,3659
5500 S PULASKI,41.793155061,-87.723303765,5614
5500 S WESTERN AVE,41.793370554,-87.684175377,12201
5600 W ADDISON STREET,41.945985104,-87.76687995200001,4108
5600 W BELMONT AVENUE,41.938683775,-87.766562494,3157
5600 W CHICAGO AVENUE,41.894962293,-87.76546079100001,6058
5600 W DIVERSEY AVENUE,41.931385977,-87.766310532,2344
5600 W FULLERTON AVENU,41.924090199,-87.76605353,4673
5600 W IRVING PARK ROAD,41.953292847,-87.76706570799999,6121
5600 W LAKE STREET,41.887838735,-87.76518366299999,7641
5600 W MADISON STREET,41.880354556,-87.764948136,623
5616 W FOSTER AVE,41.97579142,-87.769276893,4773
5700 S CORNELL DRIVE,41.791580204,-87.585564215,3673
5930 N CLARK STREET,41.98929863,-87.67010412100001,15652
600 S CICERO AVENUE,41.873094833,-87.745143869,12529
6000 N CALIFORNIA AVE,41.990527717,-87.69955208399999,1644
6000 N CICERO AVENUE,41.989973915,-87.74847302399999,7276
6000 N PULASKI ROAD,41.990160923000005,-87.728790748,1265
6000 N WESTERN AVE,41.990586042,-87.68982247299999,8093
6000 W ADDISON STREET,41.945879676,-87.776627421,3825
6000 W DIVERSEY AVENUE,41.931248624,-87.776028612,7047
6000 W IRVING PARK ROAD,41.953163771999996,-87.776842593,4880
6200 N KIMBALL AVENUE,41.993841437,-87.71424249299999,266
6200 N LINCOLN AVENUE,41.994450004,-87.71420843899999,3793
628 N MICHIGAN AVE,41.893432274,-87.624363719,13852
6300 S ASHLAND AVE,41.77937222,-87.66436534700001,606
6300 S DAMEN AVENUE,41.779226920999996,-87.674052731,14854
6300 S HALSTED STREET,41.7796575,-87.64493099299999,855
6300 S KEDZIE AVE,41.77894575,-87.70328311899999,3330
6300 S PULASKI RD,41.778636469,-87.72290635600001,13557
6300 S STATE ST,41.780008277,-87.625522512,14812
6300 S WESTERN AVE,41.779123484,-87.683783099,3756
6400 N CALIFORNIA AVE,41.997649133,-87.699792629,3703
6400 N HARLEM AVE,41.997018918,-87.806947715,930
6400 N MILWAUKEE AVEN,41.997382173000005,-87.788077674,5438
6400 N SHERIDAN ROAD,41.998217921,-87.660695256,20134
6400 N WESTERN AVENUE,41.997817807,-87.690033035,7319
6400 W ARCHER AVE,41.792455256,-87.78187685,3260
6400 W DEVON AVENUE,41.997463980999996,-87.78761024299999,9643
6400 W FOSTER,41.975762574,-87.787934296,2666
6400 W FULLERTON AVENU,41.923786189,-87.78556720600001,16734
6400 W IRVING PK,41.953024751,-87.786683238,11613
6700 S CORNELL DRIVE,41.77325149,-87.58522459999999,34325
6700 S STONY ISLAND A,41.773292896,-87.586442368,24234
6700 S WESTERN AVENUE,41.771884028,-87.68358840200001,13128
6800 N WESTERN AVENUE,42.005076123,-87.69021903,1558
6800 W GRAND AVENUE,41.923708193,-87.79530078100001,14101
7100 S ASHLAND,41.764859382,-87.663940176,7987
7100 S COTTAGE GROVE,41.765800350999996,-87.605729127,10286
7100 S KEDZIE AVENUE,41.764295037,-87.702957162,8531
7100 S WESTERN AVENUE,41.764608912,-87.68338705299999,5502
7200 N WESTERN AVENUE,42.012371335,-87.69039391700001,7751
7200 W ADDISON,41.945373358000005,-87.807070326,3483
7200 W BELMONT AVE,41.938105479,-87.806809552,7142
7432 W TOUHY AVENUE,42.011661765,-87.812781431,6543
7500 S STATE STREET,41.758092176,-87.624902228,25708
7600 S STONY ISLAND A,41.756897173,-87.586234285,68772
7900 S HALSTED STREET,41.750549559,-87.64418836799999,10173
7900 S KEDZIE AVE,41.749723972,-87.702539572,759
7900 S PULASKI ROAD,41.749339,-87.72205209100001,5767
7900 S SOUTH CHICAGO AVE,41.751339705,-87.585632266,1742
7900 S STATE STREET,41.750918138,-87.624690123,14972
7900 S STONEY ISLAND,41.751460603000005,-87.58597199299999,4888
7900 S WESTERN AVE,41.750054934,-87.682992203,8099
800 E 95TH STREET,41.722153939,-87.604447736,1319
800 N CENTRAL AVENUE,41.894896579,-87.765543258,9008
800 N CICERO AVENUE,41.895049038,-87.74595551600001,8370
800 N PULASKI ROAD,41.895456456999995,-87.726230541,3871
800 N SACRAMENTO AVEN,41.895640714,-87.70235232799999,14903
800 N WESTERN AVE,41.895786955,-87.68699058600001,5556
800 W 103RD STREET,41.70702632,-87.642896007,2639
800 W 111TH ST,41.692465363000004,-87.642440901,6520
800 W 115TH STREET,41.685190055999996,-87.64227956399999,3442
800 W 119TH STREET,41.677923389,-87.641989646,7182
800 W 79TH STREET,41.750751156999996,-87.64410779299999,5883
800 W 99TH ST,41.714323336999996,-87.643066714,27743
800 W DIVISION,41.903745557,-87.648167011,12742
800 W FULLERTON AVENUE,41.925562791,-87.648823641,10584
800 W NORTH AVENUE,41.91102851,-87.648335806,8447
800 W ROOSEVELT ROAD,41.867263098,-87.646972686,49111
8300 S HALSTED STREET,41.743264491,-87.64397498,1586
8300 S STONY ISLAND A,41.744151639,-87.58594506700001,2739
848 W 87TH STREET,41.736157546,-87.6454274,27008
8700 S ASHLAND AVE,41.735696989000004,-87.663209544,9950
8700 S LAFAYETTE AVEN,41.73616511,-87.62558756899999,38820
8700 S VINCENNES,41.736006565,-87.645341819,19920
9500 S ASHLAND AVENUE,41.721160612,-87.662828139,13881
9500 S COTTAGE GROVE,41.721970465,-87.60334804,858
9500 S HALSTED STREET,41.721365061,-87.643358042,12192
9500 S JEFFERY AVE,41.722375907,-87.575499903,6456
9900 S HALSTED ST,41.714118868,-87.643145408,34551
