"address","latitude","longitude","violations"
"'4000 N CENTRAL AVENUE'",41.95327275,-87.76715015,3262
"'6400 W ARCHER AVE'",41.79245526,-87.78187685,3260
"'1600 N PULASKI AVENUE'",41.90997501,-87.72648052,3247
"'5600 W BELMONT AVENUE'",41.93868378,-87.76656249,3157
"'100 E ONTARIO ST'",41.89342615,-87.62536203,3156
"'1600 N KOSTNER'",41.9097883,-87.73640467,3136
"'4000 W BELMONT AVE'",41.93920375,-87.72731013,3044
"'3200 N KEDZIE AVENUE'",41.93935173,-87.70784659,2760
"'8300 S STONY ISLAND A'",41.74415164,-87.58594507,2739
"'6400 W FOSTER'",41.97576257,-87.7879343,2666
"'2400 W MONTROSE AVENUE'",41.96142173,-87.68874698,2660
"'800 W 103RD STREET'",41.70702632,-87.64289601,2639
"'4800 W PETERSON AVENUE'",41.99000801,-87.74837695,2634
"'3200 N CENTRAL AVENUE'",41.93861746,-87.7666483,2495
"'2400 N PULASKI RD'",41.92457257,-87.72691911,2488
"'2800 N ASHLAND AVENUE'",41.93244536,-87.66854285,2474
"'11100 S VINCENNES AVE'",41.692161,-87.66347247,2411
"'5600 W DIVERSEY AVENUE'",41.93138598,-87.76631053,2344
"'2400 W DIVERSEY AVENUE'",41.93228718,-87.68795009,2281
"'4800 N PULASKI ROAD'",41.9682626,-87.72817532,2146
"'2400 N CENTRAL AVENUE'",41.92406892,-87.76614121,2119
"'4800 W ARMITAGE AVENUE'",41.91704199,-87.7461761,2030
"'2400 N LARAMIE AVENUE'",41.92415187,-87.75629466,1991
"'2400 W 79TH ST'",41.75022017,-87.68281769,1991
"'2800 N CENTRAL AVENUE'",41.93136555,-87.76639653,1950
"'5200 N NORTHWEST HWY'",41.97515372,-87.76862036,1894
"'7900 S SOUTH CHICAGO AVE'",41.75133971,-87.58563227,1742
"'6000 N CALIFORNIA AVE'",41.99052772,-87.69955208,1644
"'4000 N ELSTON AVENUE'",41.95368727,-87.71929788,1626
"'8300 S HALSTED STREET'",41.74326449,-87.64397498,1586
"'6800 N WESTERN AVENUE'",42.00507612,-87.69021903,1558
"'5232 N CENTRAL AVE'",41.97653221,-87.76862166,1422
"'800 E 95TH STREET'",41.72215394,-87.60444774,1319
"'6000 N PULASKI ROAD'",41.99016092,-87.72879075,1265
"'2400 W 71ST STREET'",41.76481039,-87.68330877,1073
"'1600 W GARFIELD BLVD'",41.79413322,-87.66464526,1069
"'3100 S ASHLAND AVENUE'",41.83762234,-87.66588718,1044
"'2416 S BLUE ISLAND AV'",41.84845863,-87.67627127,962
"'3100 S ARCHER AVENUE'",41.83773268,-87.66589445,944
"'6400 N HARLEM AVE'",41.99701892,-87.80694772,930
"'2416 S DAMEN AVENUE'",41.8480806,-87.67588134,906
"'9500 S COTTAGE GROVE'",41.72197047,-87.60334804,858
"'6300 S HALSTED STREET'",41.7796575,-87.64493099,855
"'0 S CENTRAL AVENUE'",41.88019556,-87.76501015,802
"'3100 S CALIFORNIA'",41.83727705,-87.69517225,801
"'1600 E 83RD STREET'",41.74431588,-87.58531604,791
"'7900 S KEDZIE AVE'",41.74972397,-87.70253957,759
"'4700 S ASHLAND AVENUE'",41.8085116,-87.66511729,721
"'4932 W FOSTER AVENUE'",41.97539461,-87.7517466,680
"'5600 W MADISON STREET'",41.88035456,-87.76494814,623
"'6300 S ASHLAND AVE'",41.77937222,-87.66436535,606
"'5500 S ASHLAND AVENUE'",41.79359012,-87.664721,531
"'2000 N WESTERN AVENUE'",41.91760382,-87.68755788,521
"'5100 S WESTERN BLVD'",41.8010802,-87.68381821,495
"'2000 E 79TH STREET'",41.75171656,-87.57592307,408
"'2400 N DAMEN AVE'",41.92503801,-87.67804719,329
"'6200 N KIMBALL AVENUE'",41.99384144,-87.71424249,266
"'1600 W 63RD STREET'",41.77957044,-87.66429388,245
"'4400 N PULASKI ROAD'",41.96102372,-87.72797746,245
"'4000 W MONTROSE AVENUE'",41.9610558,-87.72789121,212
"'5200 N ELSTON AVENUE'",41.9752581,-87.75199056,169
"'2400 W 51ST ST'",41.80125749,-87.68428112,160
"'2400 W VAN BUREN STREET'",41.87619198,-87.68633785,1
